skill_id,skill_name,skill_type_id,skill_type_name,skill_subtype_id,skill_subtype_name
1,.com,,,,
2,.htaccess,,,,
3,.NET,,,,
4,.NET CLR,,,,
5,.NET Compact Framework,,,,
6,.Net Core,,,,
7,.NET Developers,,,,
8,.NET Framework,,,,
9,.NET Framework 4.5,,,,
10,.NET Integrated Development Environments (IDE),,,,
11,.NET Remoting,,,,
12,(ISC)2 Certified Cloud Security Professional (CCSP),4,Certification Skill,,
13,(ISC)2 Certified Information Systems Security Professional (CISSP),4,Certification Skill,,
14,0Auth,,,,
15,1-4 Units,,,,
16,1-to-1 Marketing,,,,
17,1-Wire,,,,
18,10 Key,,,,
19,10 Key,4,Certification Skill,,
20,10 key by touch,,,,
21,10+ years of experience in recording arts,,,,
22,100 Plus Hatch Pattern Library,,,,
23,100 WPM,,,,
24,100-105,,,,
25,100% Financing,,,,
26,1003 Uniform Residential Loan Application,,,,
27,100D,,,,
28,1031 Exchanges,,,,
29,1099 Preparation,,,,
30,1099 ProsSoftware,,,,
31,10b5-1 Plans,,,,
32,10Base-T Switching,,,,
33,10G Ethernet,,,,
34,10gen,,,,
35,10gR2,,,,
36,10K,,,,
37,10K File Preparation,,,,
38,10Q,,,,
39,11g,,,,
40,11gR2,,,,
41,12 General Certificates of Secondary Education (GCSE),4,Certification Skill,,
42,123D Catch,,,,
43,123D Design,,,,
44,12c Release 2,,,,
45,15 years in the Mortgage Credit reporting industry w/ cusotmers nationwide,,,,
46,16 years of overall administrative experience,,,,
47,1940 Act,,,,
48,19th Century,,,,
49,1C,,,,
50,1CadCam Unigraphics,,,,
51,1H NMR,,,,
52,1Password,,,,
53,1ShoppingCart,,,,
54,1ST Pricing Window & Door Toolkit,,,,
55,1SYNC,,,,
56,2-D,,,,
57,2-D Design,,,,
58,20-20 CAP Studio,,,,
59,20-20 Technologies 20-20 Design,,,,
60,20/20 Design,,,,
61,20/20 Design Software,,,,
62,20/20 Technologies,,,,
63,2008 r2,,,,
64,203k,,,,
65,203K Renovation Lending,,,,
66,21 CFR,,,,
67,21 CFR Part 11,,,,
68,21st Century Skills,,,,
69,"22,000 plus connections",,,,
70,220 Licensed,4,Certification Skill,,
71,24 Hour Emergency Service,,,,
72,24/7 Operations,,,,
73,24SevenOffice Project,,,,
74,24x7 Production Support,,,,
75,2AB iLock Security Services,,,,
76,2D Animation,,,,
77,2D art,,,,
78,2D CAD Drawing,,,,
79,2D Design,,,,
80,2D Drawing,,,,
81,2D FFT analysis,,,,
82,2D graphics,,,,
83,2D Software,,,,
84,2D to 3D Conversion,,,,
85,2D&3D Planograms I IWD Retail Software,,,,
86,2G,,,,
87,2G/3G/4G RAN,,,,
88,3-GIS,,,,
89,360 Analytics eQUEST,,,,
90,360 Assessments,,,,
91,360 Campaigns,,,,
92,360 Degree Assessment,,,,
93,360 Feedback,,,,
94,360 Feedback Tools Software,,,,
95,360 Recruitment,,,,
96,360 Technology,,,,
97,360s,,,,
98,37signals,,,,
99,3Com,,,,
100,3Com NBX,,,,
101,3Com Switches,,,,
102,3CX,,,,
103,3D,,,,
104,3D + Animation,,,,
105,3D and Animation,,,,
106,3D Animation,,,,
107,3D Architectural Rendering,,,,
108,3D Coat,,,,
